Sign,Unicode,Transliteration,Keystrokes
𒃊,U+120CA,GA2 x EN x GAN2 tenû,ga2.en.gan2
𒃭,U+120ED,GA2 / GA2,ga2.ga2
𒃋,U+120CB,GA2 x GAN2 tenû,ga2.gan2
𒃌,U+120CC,GA2 x GAR,ga2.gar
𒃍,U+120CD,GA2 x GI,ga2.gi
𒃎,U+120CE,GA2 x GI4,ga2.gi4
𒃏,U+120CF,GA2 x GI4 + A,ga2.gi4.a
𒃐,U+120D0,GA2 x GIR2 + SU,ga2.gir2.su
𒃑,U+120D1,GA2 x ḪA + LU + EŠ2,ga2.ha.lu.esh2
𒃒,U+120D2,GA2 x ḪAL,ga2.hal
𒃓,U+120D3,GA2 x ḪAL + LA,ga2.hal.la
𒃔,U+120D4,GA2 x ḪI + LI,ga2.hi.li
𒃕,U+120D5,GA2 x ḪUB2,ga2.hub2
𒃖,U+120D6,GA2 x IGI gunû,ga2.igi
𒃗,U+120D7,GA2 x IŠ + ḪU + AŠ,ga2.ish.hu.ash
𒃘,U+120D8,GA2 x KAK,ga2.kak
𒃙,U+120D9,GA2 x KASKAL,ga2.kaskal
𒃚,U+120DA,GA2 x KID,ga2.kid
𒃛,U+120DB,GA2 x KID + LAL,ga2.kid.lal
𒃜,U+120DC,GA2 x KU3 + AN,ga2.ku3.an
𒃝,U+120DD,GA2 x LA,ga2.la
𒃞,U+120DE,GA2 x ME + EN,ga2.me.en
𒃟,U+120DF,GA2 x MI,ga2.mi
𒃠,U+120E0,GA2 x NUN,ga2.nun
𒃡,U+120E1,GA2 x NUN / NUN,ga2.nun.nun
𒃢,U+120E2,GA2 x PA,ga2.pa
𒃣,U+120E3,GA2 x SAL,ga2.sal
𒃤,U+120E4,GA2 x SAR,ga2.sar
𒃥,U+120E5,GA2 x ŠE,ga2.she
𒃦,U+120E6,GA2 x ŠE + TUR,ga2.she.tur
𒃧,U+120E7,GA2 x ŠID,ga2.shid
𒃨,U+120E8,GA2 x SUM,ga2.sum
𒃩,U+120E9,GA2 x TAK4,ga2.tak4
𒃪,U+120EA,GA2 x U,ga2.u
𒃫,U+120EB,GA2 x UD,ga2.ud
𒃬,U+120EC,GA2 x UD + DU,ga2.ud.du
𒃮,U+120EE,GABA,gaba
𒃯,U+120EF,GABA crossing GABA,gaba.gaba
𒃰,U+120F0,GAD,gad
𒃱,U+120F1,GAD / GAD GAR / GAR,gad.gad.gar.gar
𒃲,U+120F2,GAL,gal
𒃳,U+120F3,GAL GAD / GAD GAR / GAR,gal.gad.gad.gar.gar
𒃴,U+120F4,GALAM,galam
𒃵,U+120F5,GAM,gam
𒃶,U+120F6,GAN,gan
𒃷,U+120F7,GAN2,gan2
𒃸,U+120F8,GAN2 tenû,gan2
𒃹,U+120F9,GAN2 / GAN2,gan2.gan2
𒃺,U+120FA,GAN2 crossing GAN2,gan2.gan2
𒃻,U+120FB,GAR,gar
𒃼,U+120FC,GAR3,gar3
𒃽,U+120FD,GAŠAN,gashan
𒍻,U+1237B,GE22,ge22
𒃾,U+120FE,GEŠTIN,geshtin
𒃿,U+120FF,GEŠTIN x KUR,geshtin.kur
𒄀,U+12100,GI,gi
𒄁,U+12101,GI x E,gi.e
𒄃,U+12103,GI crossing GI,gi.gi
𒄂,U+12102,GI x U,gi.u
𒄄,U+12104,GI4,gi4
𒄆,U+12106,GI4 crossing GI4,gi4.gi4
𒄅,U+12105,GI4 / GI4,gi4.gi4
𒄇,U+12107,GIDIM,gidim
𒍼,U+1237C,GIG,gig
𒄈,U+12108,GIR2,gir2
𒄉,U+12109,GIR2 gunû,gir2
𒄊,U+1210A,GIR3,gir3
𒄋,U+1210B,GIR3 x A + IGI,gir3.a.igi
𒄌,U+1210C,GIR3 x GAN2 tenû,gir3.gan2
𒄍,U+1210D,GIR3 x IGI,gir3.igi
𒄎,U+1210E,GIR3 x LU + IGI,gir3.lu.igi
𒄏,U+1210F,GIR3 x PA,gir3.pa
𒄐,U+12110,GISAL,gisal
𒄑,U+12111,GIŠ,gish
𒄕,U+12115,GIŠ tenû,gish
𒄓,U+12113,GIŠ x BAD,gish.bad
𒄒,U+12112,GIŠ crossing GIŠ,gish.gish
𒄔,U+12114,GIŠ x TAK4,gish.tak4
𒄖,U+12116,GU,gu
𒄗,U+12117,GU crossing GU,gu.gu
𒄝,U+1211D,GU2 gunû,gu2
𒄘,U+12118,GU2,gu2
𒄙,U+12119,GU2 x KAK,gu2.kak
𒄚,U+1211A,GU2 x KAK x IGI gunû,gu2.kak.igi
𒄛,U+1211B,GU2 x NUN,gu2.nun
𒄜,U+1211C,GU2 x SAL + TUG2,gu2.sal.tug2
𒄞,U+1211E,GUD,gud
𒄟,U+1211F,GUD x A + KUR,gud.a.kur
𒄡,U+12121,GUD / GUD LUGAL,gud.gud.lugal
𒄠,U+12120,GUD x KUR,gud.kur
𒄢,U+12122,GUL,gul
𒄣,U+12123,GUM,gum
𒄤,U+12124,GUM x ŠE,gum.she
𒄥,U+12125,GUR,gur
𒄦,U+12126,GUR7,gur7
𒄧,U+12127,GURUN,gurun
𒄨,U+12128,GURUŠ,gurush
𒄩,U+12129,ḪA,ha
𒄪,U+1212A,ḪA tenû,ha
𒄫,U+1212B,ḪA gunû,ha
𒄬,U+1212C,ḪAL,hal
𒄭,U+1212D,ḪI,hi
𒄮,U+1212E,ḪI x AŠ,hi.ash
𒄯,U+1212F,ḪI x AŠ2,hi.ash2
𒄰,U+12130,ḪI x BAD,hi.bad
𒄱,U+12131,ḪI x DIŠ,hi.dish
𒄲,U+12132,ḪI x GAD,hi.gad
𒄳,U+12133,ḪI x KIN,hi.kin
𒄴,U+12134,ḪI x NUN,hi.nun
𒄵,U+12135,ḪI x ŠE,hi.she
𒄶,U+12136,ḪI x U,hi.u
𒄷,U+12137,ḪU,hu
𒄸,U+12138,ḪUB2,hub2
𒄹,U+12139,ḪUB2 x AN,hub2.an
𒄺,U+1213A,ḪUB2 x ḪAL,hub2.hal
𒄻,U+1213B,ḪUB2 x KASKAL,hub2.kaskal
𒄼,U+1213C,ḪUB2 x LIŠ,hub2.lish
𒄽,U+1213D,ḪUB2 x UD,hub2.ud
𒄾,U+1213E,ḪUL2,hul2
𒍽,U+1237D,ḪUŠ,hush
𒄿,U+1213F,I,i
𒅀,U+12140,I A,i.a
𒅁,U+12141,IB,ib
𒅂,U+12142,IDIM,idim
𒅄,U+12144,IDIM / IDIM squared,idim.idim
𒅃,U+12143,IDIM / IDIM BUR,idim.idim.bur
𒅅,U+12145,IG,ig
𒅊,U+1214A,IGI gunû,igi
𒅆,U+12146,IGI,igi
𒅇,U+12147,IGI DIB,igi.dib
𒅉,U+12149,IGI / IGI ŠIR / ŠIR UD / UD,igi.igi.shir.shir.ud.ud
𒅈,U+12148,IGI RI,igi.ri
𒅋,U+1214B,IL,il
𒅌,U+1214C,IL x GAN2 tenû,il.gan2
𒅍,U+1214D,IL2,il2
𒅒,U+12152,IM squared,im
𒅎,U+1214E,IM,im
𒅐,U+12150,IM crossing IM,im.im
𒅑,U+12151,IM opposing IM,im.im
𒅏,U+1214F,IM x TAK4,im.tak4
𒅓,U+12153,IMIN,imin
𒅔,U+12154,IN,in
𒅕,U+12155,IR,ir
𒅖,U+12156,IŠ,ish
𒅗,U+12157,KA,ka
𒅘,U+12158,KA x A,ka.a
𒅙,U+12159,KA x AD,ka.ad
𒅚,U+1215A,KA x AD + KU3,ka.ad.ku3
𒍾,U+1237E,KA x ANŠE,ka.anshe
𒅛,U+1215B,KA x AŠ2,ka.ash2
𒍿,U+1237F,KA x AŠ3,ka.ash3
𒅜,U+1215C,KA x BAD,ka.bad
𒅝,U+1215D,KA x BALAG,ka.balag
𒅞,U+1215E,KA x BAR,ka.bar
𒅟,U+1215F,KA x BI,ka.bi
𒅠,U+12160,KA x ERIN2,ka.erin2
𒅡,U+12161,KA x EŠ2,ka.esh2
𒅢,U+12162,KA x GA,ka.ga
𒅣,U+12163,KA x GAL,ka.gal
𒅤,U+12164,KA x GAN2 tenû,ka.gan2
𒅥,U+12165,KA x GAR,ka.gar
𒅦,U+12166,KA x GAR + ŠA3 + A,ka.gar.sha3.a
𒅧,U+12167,KA x GI,ka.gi
𒅨,U+12168,KA x GIR2,ka.gir2
𒎀,U+12380,KA x GIŠ,ka.gish
𒅪,U+1216A,KA x GIŠ crossing GIŠ,ka.gish.gish
𒅩,U+12169,KA x GIŠ + SAR,ka.gish.sar
𒅫,U+1216B,KA x GU,ka.gu
𒎁,U+12381,KA x GUD,ka.gud
𒅬,U+1216C,KA x GUR7,ka.gur7
𒎂,U+12382,KA x ḪI x AŠ2,ka.hi.ash2
𒅭,U+1216D,KA x IGI,ka.igi
𒅮,U+1216E,KA x IM,ka.im
𒅯,U+1216F,KA x KAK,ka.kak
𒅰,U+12170,KA x KI,ka.ki
𒅱,U+12171,KA x KID,ka.kid
𒅲,U+12172,KA x LI,ka.li
𒅳,U+12173,KA x LU,ka.lu
𒎃,U+12383,KA x LUM,ka.lum
𒅴,U+12174,KA x ME,ka.me
𒅵,U+12175,KA x ME + DU,ka.me.du
